公司名称,公司类型,融资阶段,标签,公司规模,公司所在地,职位类型,学历要求,福利,薪资,工作经验
广州哆啦信息科技有限公司,"电子商务,移动互联网",B轮,"['年底双薪', '股票期权', '午餐补助', '扁平管理']",150-500人,海珠区,开发/测试/运维类,本科,"高额期权,弹性工作制,扁平化管理,不打卡",15k-30k,1-3年
广州多益网络股份有限公司,"移动互联网,游戏",不需要融资,"['扁平化管理', '现象级产品']",500-2000人,萝岗区,开发/测试/运维类,大专,"平台,团队",9k-15k,1-3年
广东盟讯科技有限公司,"移动互联网,其他",不需要融资,"['年底双薪', '专项奖金', '带薪年假', '午餐补助']",15-50人,番禺区,开发/测试/运维类,大专,"双休,7险1金,公司培训,旅游",5k-10k,1-3年
广州妙思电子科技有限公司,"移动互联网,旅游",天使轮,"['免费旅游', '专项奖金', '绩效奖金', '年底双薪']",15-50人,越秀区,开发/测试/运维类,不限,"年底双薪,地铁附近",6k-11k,1-3年
广州诺涵信息科技有限公司,移动互联网,未融资,[],15-50人,天河区,开发/测试/运维类,大专,"年底双薪,绩效奖金,周末双休,氛围活跃",6k-10k,1-3年
广州经传多赢投资咨询有限公司,"移动互联网,金融",不需要融资,"['绩效奖金', '年度旅游', '扁平管理', '技能培训']",2000人以上,番禺区,开发/测试/运维类,本科,"技术大牛多,扁平管理,快速兑现",15k-25k,3-5年
广州玖维信息科技有限公司,"移动互联网,数据服务",上市公司,"['年底双薪', '专项奖金', '年终分红', '带薪年假']",150-500人,天河区,开发/测试/运维类,大专,"双休,提成,带薪休假,五险一金",7k-8k,1年以下
广州市擎天柱网络科技有限公司,游戏,不需要融资,"['扁平管理', '技术实力强', '发展快前景美', '快速晋升通道']",150-500人,天河区,开发/测试/运维类,本科,"五险一金,周末双休,工作餐,氛围好",8k-15k,1-3年
武汉佰钧成技术有限责任公司,移动互联网,不需要融资,"['带薪年假', '计算机软件', '管理规范', '定期体检']",2000人以上,天河区,开发/测试/运维类,本科,"大平台,加班少,成长快,学院派",11k-18k,1-3年
上海新炬网络技术有限公司,"移动互联网,数据服务",未融资,"['技能培训', '年底双薪', '岗位晋升', '年度旅游']",500-2000人,天河区,开发/测试/运维类,大专,"平台大,发展前景好,五险一金,周末双休",8k-15k,1-3年
广州龙骐贸易有限公司,电子商务,不需要融资,"['技能培训', '年底双薪', '岗位晋升', '扁平管理']",15-50人,白云区,开发/测试/运维类,不限,"年底双薪,地铁旁,五险",10k-15k,应届毕业生
上海中软华腾软件系统有限公司,"企业服务,金融",上市公司,"['年底双薪', '绩效奖金', '带薪年假', '定期体检']",2000人以上,天河区,开发/测试/运维类,本科,"外企环境,周末双休法,氛围nice",10K-20K,3-5年
广州棒谷科技股份有限公司,电子商务,不需要融资,"['项目奖金', '绩效奖金', '年终奖', '五险一金']",2000人以上,白云区,开发/测试/运维类,本科,"福利好,工作氛围好,发展平台大",15k-25k,1-3年
北京千锋互联科技有限公司,移动互联网,A轮,"['节日礼物', '专项奖金', '股票期权', '带薪年假']",500-2000人,天河区,开发/测试/运维类,大专,"五险一金,绩效奖金,朝九晚六,周末双休",20k-40k,3-5年
广州太平洋电脑信息咨询有限公司,"电子商务,生活服务",上市公司,"['年底双薪', '绩效奖金', '五险一金', '带薪年假']",500-2000人,天河区,开发/测试/运维类,大专,"上市公司,五险一金,年底双薪,带薪年假",7k-9k,1-3年
广州玖维信息科技有限公司,"移动互联网,数据服务",上市公司,"['年底双薪', '专项奖金', '年终分红', '带薪年假']",150-500人,天河区,开发/测试/运维类,大专,"周末双休,五险一金,节日福利,提供食宿",6k-9k,1年以下
广州市擎天柱网络科技有限公司,游戏,不需要融资,"['扁平管理', '技术实力强', '发展快前景美', '快速晋升通道']",150-500人,天河区,开发/测试/运维类,本科,"晋升机会,全栈发展,工作餐,周末双休",12k-20k,3-5年
广州经传多赢投资咨询有限公司,"移动互联网,金融",不需要融资,"['绩效奖金', '年度旅游', '扁平管理', '技能培训']",2000人以上,番禺区,开发/测试/运维类,不限,"高成长团队,团队稳定,氛围好",10k-20k,1-3年
武汉佰钧成技术有限责任公司,移动互联网,不需要融资,"['带薪年假', '计算机软件', '管理规范', '定期体检']",2000人以上,天河区,开发/测试/运维类,本科,"福利齐全,弹性工作制,技术平台好",10k-20k,1-3年
广东修炼科技股份有限公司,移动互联网,不需要融资,"['股票期权', '弹性工作', '美女多', '扁平管理']",50-150人,天河区,开发/测试/运维类,大专,"大咖带队,妹子多,氛围好,实力强",8k-16k,1-3年
信必优(深圳)信息技术有限公司,"移动互联网,电子商务",未融资,"['节日礼物', '年底双薪', '带薪年假', '年度旅游']",2000人以上,天河区,开发/测试/运维类,本科,"外资,英语流利",18k-23k,不限
广州久邦世纪科技有限公司,移动互联网,上市公司,"['技能培训', '节日礼物', '股票期权', '带薪年假']",500-2000人,越秀区,开发/测试/运维类,大专,"技术氛围,工作环境,业绩奖金,弹性工作",15k-30k,3-5年
